Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
432,170000.0,39298.21833333333,9986.0,17.0,3.69,819,66.51324510574341,r,-,0
433,10000.0,8008.17,8724.0,1.0,0.7366666666666667,849,67.60285091400146,m,0.2,122
434,10000.0,7941.365,8243.0,1.0,0.7133333333333334,817,60.16434288024902,m,0.1,0
435,10000.0,7941.365,8243.0,1.0,0.7133333333333334,1404,47.60892701148987,r,-,0
436,10000.0,7543.615,8243.0,1.0,0.67,1447,41.00606822967529,i,-,0
437,10000.0,7098.036666666667,7864.0,1.0,0.6233333333333333,1418,36.823403120040894,n,0.05,4
438,10000.0,6289.323333333334,7553.0,1.0,0.5316666666666666,1520,31.983381986618042,n,0.1,34
439,10000.0,5858.8983333333335,7465.0,1.0,0.4666666666666667,1565,29.624199867248535,c,-,47
440,10000.0,6097.178333333333,7388.0,1.0,0.48333333333333334,1507,32.049803018569946,m,0.02,7
441,10000.0,5486.405,7117.0,1.0,0.43666666666666665,1512,27.153241872787476,n,0.02,165
442,10000.0,5261.261666666666,7036.0,1.0,0.41333333333333333,1453,27.348920106887817,m,0.05,0
443,10000.0,5199.373333333333,6987.0,1.0,0.38666666666666666,1522,26.13738226890564,m,0.02,0
444,10000.0,4964.655,6975.0,1.0,0.38666666666666666,1528,25.690722942352295,n,0.05,36
445,10000.0,4918.091666666666,6816.0,1.0,0.38333333333333336,1562,24.006489038467407,m,0.05,9
446,10000.0,4814.808333333333,6816.0,1.0,0.3516666666666667,1526,23.70521068572998,i,-,0
447,10000.0,4951.633333333333,6807.0,1.0,0.36833333333333335,1352,26.74782419204712,m,0.1,33
448,10000.0,4907.133333333333,6713.0,1.0,0.34833333333333333,1363,24.643414974212646,m,0.02,0
449,10000.0,4594.253333333333,6713.0,1.0,0.31666666666666665,1338,24.695775985717773,i,-,0
450,10000.0,4712.82,6649.0,1.0,0.325,1438,24.866967916488647,m,0.1,12
451,10000.0,4667.346666666666,6620.0,1.0,0.31333333333333335,1524,23.68629503250122,m,0.02,2
