Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1492,10000.0,65.547,5295.0,1.0,0.001,3291,4.343416929244995,r,-,0
1493,10000.0,203.267,5295.0,1.0,0.001,6582,52.51582193374634,i,-,0
1494,10000.0,1062.123,5295.0,1.0,0.053,7831,7.281020879745483,p,-,0
1495,10000.0,2561.386,5073.0,1.0,0.126,3818,11.451926946640015,m,0.1,1
1496,10000.0,4224.973,4884.0,1.0,0.211,3767,11.998947620391846,m,0.1,152
1497,10000.0,5103.432,4884.0,1.0,0.264,3450,13.473706007003784,i,-,0
1498,10000.0,4946.756,4854.0,1.0,0.229,2182,69.26603126525879,m,0.2,70
1499,10000.0,4749.52,4808.0,1.0,0.219,3692,12.655052185058594,m,0.02,15
1500,10000.0,4340.989,4808.0,1.0,0.216,3818,12.304709196090698,i,-,0
1501,10000.0,3790.068,4782.0,1.0,0.176,3759,12.306699991226196,m,0.05,0
1502,10000.0,3665.357,4780.0,1.0,0.162,3982,11.769752979278564,m,0.05,3
1503,10000.0,3445.257,4765.0,1.0,0.156,4046,11.825716972351074,m,0.02,28
1504,10000.0,3681.021,4732.0,1.0,0.174,3968,12.428007125854492,m,0.05,50
1505,10000.0,3752.958,4732.0,1.0,0.169,4092,11.982306957244873,i,-,0
1506,10000.0,3522.407,4688.0,1.0,0.161,3272,14.50074028968811,m,0.2,174
1507,10000.0,3543.525,4688.0,1.0,0.16,3927,11.238476037979126,i,-,0
1508,10000.0,3331.252,4686.0,1.0,0.14,3646,12.464326858520508,m,0.02,5
1509,10000.0,3290.212,4647.0,1.0,0.135,3415,12.515714883804321,c,-,19
1510,10000.0,3949.376,4641.0,1.0,0.174,2714,16.95014500617981,m,0.1,0
1511,10000.0,4313.881,4641.0,1.0,0.187,2790,15.952349185943604,i,-,0
1512,10000.0,4313.881,4641.0,1.0,0.187,26,214.20266103744507,r,-,0
1513,10000.0,4148.626,4584.0,1.0,0.152,24,293.5444612503052,m,0.02,18
1514,10000.0,4475.318,4548.0,1.0,0.184,18,277.1367790699005,m,0.02,170
1515,10000.0,4345.225,4548.0,1.0,0.188,21,311.1036489009857,i,-,0
1516,10000.0,4109.776,4548.0,1.0,0.164,28,307.9804890155792,p,-,0
1517,10000.0,4241.006,4538.0,1.0,0.169,49326,200.64178490638733,m,0.02,6
1518,10000.0,4399.782,4538.0,1.0,0.173,23,188.77834916114807,i,-,0
1519,10000.0,4587.999,4538.0,1.0,0.187,18,169.15296268463135,p,-,0
1520,10000.0,5002.564,4525.0,1.0,0.213,26,187.79393482208252,c,-,134
1521,10000.0,5444.795,4516.0,1.0,0.29,21,230.8385419845581,m,0.02,12
1522,10000.0,5403.425,4505.0,1.0,0.28,21,246.21055817604065,c,-,228
1523,10000.0,5189.212,4494.0,1.0,0.25,21,393.67601776123047,m,0.02,8
1524,10000.0,5219.182,4494.0,1.0,0.253,16,263.9841139316559,i,-,0
1525,10000.0,5211.382,4494.0,1.0,0.241,19,268.35392689704895,p,-,0
1526,10000.0,5001.198,4494.0,1.0,0.222,16,293.858375787735,i,-,0
1527,10000.0,5075.078,4492.0,1.0,0.212,16,214.45135307312012,m,0.02,37
1528,10000.0,4993.401,4492.0,1.0,0.199,18,247.85111713409424,i,-,0
1529,10000.0,4928.579,4476.0,1.0,0.193,18,174.32306623458862,n,0.05,95
1530,10000.0,4787.199,4476.0,1.0,0.185,26,199.8679759502411,i,-,0
1531,10000.0,4813.678,4476.0,1.0,0.191,18,186.61323070526123,p,-,0
1532,10000.0,4887.74,4476.0,1.0,0.197,18,225.04822182655334,p,-,0
1533,10000.0,4855.285,4461.0,1.0,0.206,26,192.8001799583435,m,0.02,18
1534,10000.0,5090.593,4461.0,1.0,0.223,25,182.72963404655457,i,-,0
1535,10000.0,5156.669,4461.0,1.0,0.236,20,201.4538927078247,p,-,0
1536,10000.0,5127.723,4456.0,1.0,0.234,26,194.28124499320984,c,-,31
1537,10000.0,4780.174,4456.0,1.0,0.201,26,174.3251678943634,i,-,0
1538,10000.0,4722.857,4456.0,1.0,0.205,26,185.9672691822052,p,-,0
1539,10000.0,4736.627,4452.0,1.0,0.214,27,190.6084909439087,c,-,64
1540,10000.0,4851.312,4452.0,1.0,0.211,29,177.15861105918884,c,-,38
1541,10000.0,4923.417,4452.0,1.0,0.228,26,175.74879670143127,p,-,0
1542,10000.0,4804.863,4450.0,1.0,0.207,29,180.29579377174377,c,-,201
1543,10000.0,4583.211,4450.0,1.0,0.188,30,161.54936504364014,i,-,0
1544,10000.0,4542.049,4450.0,1.0,0.195,28,165.44729709625244,p,-,0
1545,10000.0,4539.638,4450.0,1.0,0.18,29,162.33115887641907,p,-,0
1546,10000.0,4530.925,4450.0,1.0,0.192,30,172.04576587677002,p,-,0
1547,10000.0,4530.925,4450.0,1.0,0.192,4004,9.735312938690186,r,-,0
1548,10000.0,4358.369,4448.0,1.0,0.142,3633,10.665227174758911,m,0.02,48
1549,10000.0,4780.267,4448.0,1.0,0.184,3639,11.03073000907898,i,-,0
1550,10000.0,4626.092,4448.0,1.0,0.169,3272,12.087693691253662,p,-,0
1551,10000.0,4804.845,4448.0,1.0,0.181,3002,13.191724061965942,p,-,0
1552,10000.0,4663.594,4448.0,1.0,0.184,2935,13.42288589477539,c,-,15
1553,10000.0,4722.998,4448.0,1.0,0.177,3254,12.293836116790771,i,-,0
1554,10000.0,4582.692,4448.0,1.0,0.169,3495,11.0121169090271,c,-,21
1555,10000.0,4630.29,4448.0,1.0,0.163,2838,13.769908905029297,p,-,0
1556,10000.0,4545.5,4442.0,1.0,0.153,3037,12.91434907913208,m,0.02,68
1557,10000.0,4565.836,4442.0,1.0,0.148,3151,13.248825788497925,i,-,0
1558,10000.0,4691.408,4442.0,1.0,0.163,2923,14.93488621711731,p,-,0
1559,10000.0,4539.994,4442.0,1.0,0.162,2938,13.101266145706177,c,-,26
1560,10000.0,4678.531,4442.0,1.0,0.163,2831,13.591749906539917,i,-,0
1561,10000.0,4663.03,4442.0,1.0,0.156,2760,13.25533127784729,c,-,42
1562,10000.0,4629.46,4442.0,1.0,0.158,3428,15.321852922439575,c,-,26
1563,10000.0,4791.784,4442.0,1.0,0.17,2974,15.234667778015137,p,-,0
1564,10000.0,4855.823,4442.0,1.0,0.185,2921,15.634876251220703,c,-,31
1565,10000.0,4885.066,4442.0,1.0,0.177,3015,24.95414924621582,c,-,15
1566,10000.0,4881.038,4442.0,1.0,0.185,2557,18.60621690750122,i,-,0
1567,10000.0,4707.416,4442.0,1.0,0.161,2168,19.518792867660522,p,-,0
1568,10000.0,4793.546,4442.0,1.0,0.172,2462,15.872148036956787,i,-,0
1569,10000.0,4976.627,4442.0,1.0,0.193,2872,13.769412755966187,i,-,0
1570,10000.0,4749.271,4442.0,1.0,0.175,2885,13.865392208099365,i,-,0
1571,10000.0,4803.366,4442.0,1.0,0.181,2659,23.06485915184021,p,-,0
1572,10000.0,4699.995,4442.0,1.0,0.166,2909,28.802173137664795,i,-,0
1573,10000.0,4864.426,4442.0,1.0,0.185,1973,18.180788040161133,p,-,0
1574,10000.0,4886.282,4442.0,1.0,0.192,2505,15.905708074569702,c,-,16
1575,10000.0,4734.783,4442.0,1.0,0.173,2899,13.716962814331055,c,-,26
1576,10000.0,4661.075,4442.0,1.0,0.162,2953,13.409389972686768,p,-,0
1577,10000.0,4748.571,4442.0,1.0,0.174,2703,14.49554181098938,i,-,0
1578,10000.0,4714.978,4442.0,1.0,0.176,2914,13.608533143997192,p,-,0
1579,10000.0,4769.083,4436.0,1.0,0.17,2935,13.27286982536316,c,-,74
1580,10000.0,4849.558,4436.0,1.0,0.188,3524,11.325803995132446,i,-,0
1581,10000.0,4815.309,4436.0,1.0,0.169,2960,13.363339900970459,p,-,0
1582,10000.0,4933.438,4436.0,1.0,0.187,3185,12.2292320728302,p,-,0
1583,10000.0,4844.559,4436.0,1.0,0.186,2949,13.072573900222778,p,-,0
1584,10000.0,4747.005,4436.0,1.0,0.164,3207,12.196669101715088,p,-,0
1585,10000.0,4770.242,4436.0,1.0,0.181,3414,11.54079794883728,p,-,0
1586,10000.0,4840.839,4436.0,1.0,0.186,3320,11.800530910491943,i,-,0
1587,10000.0,4904.383,4436.0,1.0,0.188,2704,14.388835906982422,c,-,26
1588,10000.0,4858.87,4436.0,1.0,0.193,2766,13.9891939163208,p,-,0
1589,10000.0,4657.139,4436.0,1.0,0.171,3152,12.262042999267578,p,-,0
1590,10000.0,4768.022,4436.0,1.0,0.166,3200,16.639332056045532,c,-,18
1591,10000.0,4698.904,4436.0,1.0,0.166,3634,13.89499282836914,i,-,0
1592,10000.0,4708.794,4436.0,1.0,0.172,3121,12.519493818283081,i,-,0
1593,10000.0,4689.491,4436.0,1.0,0.174,3053,12.903172254562378,p,-,0
1594,10000.0,4709.094,4436.0,1.0,0.161,3229,12.186118125915527,c,-,27
1595,10000.0,4540.014,4436.0,1.0,0.148,3543,11.117807865142822,p,-,0
1596,10000.0,4629.841,4436.0,1.0,0.167,3250,16.110822916030884,p,-,0
1597,10000.0,4684.71,4436.0,1.0,0.17,3356,12.693638324737549,p,-,0
1598,10000.0,4668.879,4436.0,1.0,0.161,3164,14.605731964111328,i,-,0
1599,10000.0,4764.581,4436.0,1.0,0.175,2858,13.893598079681396,p,-,0
1600,10000.0,4756.997,4436.0,1.0,0.178,3306,12.182270050048828,p,-,0
1601,10000.0,4797.635,4436.0,1.0,0.168,3311,12.40538501739502,i,-,0
1602,10000.0,4720.501,4436.0,1.0,0.179,3548,11.426922082901001,p,-,0
1603,10000.0,4820.054,4436.0,1.0,0.179,3102,13.400452852249146,p,-,0
1604,10000.0,4793.011,4436.0,1.0,0.178,3729,14.280085802078247,p,-,0
1605,10000.0,4647.958,4436.0,1.0,0.169,3261,13.824430227279663,p,-,0
1606,10000.0,4834.308,4436.0,1.0,0.183,3200,12.594645977020264,i,-,0
1607,10000.0,4716.802,4436.0,1.0,0.16,3278,12.078049182891846,i,-,0
1608,10000.0,4518.051,4436.0,1.0,0.153,3631,10.931909799575806,i,-,0
1609,10000.0,4704.619,4436.0,1.0,0.175,3315,11.94235110282898,i,-,0
1610,10000.0,4754.487,4436.0,1.0,0.169,3380,12.0882408618927,p,-,0
1611,10000.0,4722.52,4436.0,1.0,0.162,3300,12.001683950424194,p,-,0
1612,10000.0,4590.308,4436.0,1.0,0.159,3372,11.660964965820312,p,-,0
1613,10000.0,4661.013,4436.0,1.0,0.164,3386,33.82792115211487,p,-,0
1614,10000.0,4720.737,4436.0,1.0,0.171,3195,12.292798042297363,p,-,0
1615,10000.0,4752.358,4436.0,1.0,0.176,3746,22.70459270477295,i,-,0
1616,10000.0,4761.509,4436.0,1.0,0.177,3247,16.175081968307495,p,-,0
1617,10000.0,4814.714,4436.0,1.0,0.198,3237,12.884837865829468,p,-,0
1618,10000.0,4762.361,4436.0,1.0,0.183,3326,12.863299131393433,p,-,0
1619,10000.0,4806.548,4436.0,1.0,0.193,3441,24.270751953125,i,-,0
1620,10000.0,4861.761,4436.0,1.0,0.187,3486,24.565763235092163,i,-,0
1621,10000.0,4667.59,4436.0,1.0,0.162,3412,14.458595037460327,c,-,24
1622,10000.0,4610.452,4436.0,1.0,0.165,3182,12.923395156860352,c,-,23
1623,10000.0,4688.46,4436.0,1.0,0.172,3800,26.421284914016724,i,-,0
1624,10000.0,4754.679,4436.0,1.0,0.169,3515,12.248680114746094,i,-,0
1625,10000.0,4846.4,4436.0,1.0,0.187,3361,11.605654001235962,p,-,0
1626,10000.0,4748.924,4436.0,1.0,0.173,2977,13.145250797271729,p,-,0
1627,10000.0,4647.216,4436.0,1.0,0.161,3214,12.089367866516113,i,-,0
1628,10000.0,4655.887,4436.0,1.0,0.162,3564,10.794547080993652,p,-,0
1629,10000.0,4651.897,4436.0,1.0,0.156,3045,12.473320960998535,c,-,21
1630,10000.0,4601.134,4436.0,1.0,0.156,3081,12.509865045547485,p,-,0
1631,10000.0,4741.45,4436.0,1.0,0.168,3024,12.764124155044556,i,-,0
1632,10000.0,4801.854,4436.0,1.0,0.17,2919,13.136804103851318,i,-,0
1633,10000.0,4599.09,4436.0,1.0,0.166,3451,11.0296950340271,p,-,0
1634,10000.0,4827.538,4424.0,1.0,0.168,3161,12.112246990203857,m,0.02,349
1635,10000.0,4632.818,4424.0,1.0,0.154,3697,11.685468912124634,i,-,0
1636,10000.0,4622.91,4424.0,1.0,0.165,3539,12.823686838150024,p,-,0
1637,10000.0,4831.665,4424.0,1.0,0.182,3358,12.748254776000977,p,-,0
1638,10000.0,4844.762,4422.0,1.0,0.191,3241,13.857849836349487,m,0.05,13
1639,10000.0,4935.611,4415.0,1.0,0.191,3101,12.579662084579468,c,-,35
1640,10000.0,4954.676,4415.0,1.0,0.181,3448,12.310638189315796,i,-,0
1641,10000.0,5140.084,4401.0,1.0,0.209,3056,14.599328994750977,m,0.05,18
1642,10000.0,5111.786,4401.0,1.0,0.211,2912,13.54006028175354,i,-,0
1643,10000.0,5286.536,4401.0,1.0,0.232,3016,13.04982614517212,p,-,0
1644,10000.0,5215.708,4400.0,1.0,0.215,3012,13.410329103469849,c,-,35
1645,10000.0,5389.714,4400.0,1.0,0.236,3074,13.233903884887695,i,-,0
1646,10000.0,5505.468,4394.0,1.0,0.244,3242,14.71031379699707,c,-,47
1647,10000.0,5369.359,4394.0,1.0,0.232,3291,24.869221925735474,i,-,0
1648,10000.0,5525.489,4394.0,1.0,0.25,3130,13.051063060760498,p,-,0
1649,10000.0,5616.93,4394.0,1.0,0.273,3149,12.485318899154663,p,-,0
1650,10000.0,5582.555,4394.0,1.0,0.27,3053,12.536739110946655,c,-,28
1651,10000.0,5815.12,4394.0,1.0,0.293,2778,43.89166498184204,p,-,0
1652,10000.0,5708.413,4390.0,1.0,0.274,3122,13.676050901412964,m,0.05,74
1653,10000.0,5710.859,4390.0,1.0,0.283,3011,24.840812921524048,i,-,0
1654,10000.0,5808.389,4390.0,1.0,0.289,2653,23.005160093307495,p,-,0
1655,10000.0,5800.122,4390.0,1.0,0.301,2676,16.046344995498657,i,-,0
1656,10000.0,5491.412,4390.0,1.0,0.257,2976,12.791308879852295,p,-,0
1657,10000.0,5695.551,4390.0,1.0,0.267,2929,17.923646926879883,p,-,0
1658,10000.0,5572.251,4390.0,1.0,0.256,3063,18.92231011390686,p,-,0
1659,10000.0,5572.251,4390.0,1.0,0.256,3386,11.398946046829224,r,-,0
1660,10000.0,5561.128,4389.0,1.0,0.259,2567,14.883487224578857,c,-,171
1661,10000.0,5945.936,4384.0,1.0,0.319,2754,14.39561128616333,c,-,9
1662,10000.0,5703.471,4384.0,1.0,0.292,2826,13.431855201721191,i,-,0
1663,10000.0,5703.471,4384.0,1.0,0.292,3452,11.020797967910767,r,-,0
1664,10000.0,5191.58,4375.0,1.0,0.222,3329,12.385581254959106,m,0.02,13
1665,10000.0,5180.668,4375.0,1.0,0.245,3390,20.335693836212158,i,-,0
1666,10000.0,5277.817,4371.0,1.0,0.256,2289,17.196922302246094,m,0.02,35
1667,10000.0,5369.934,4371.0,1.0,0.27,2212,17.56660795211792,i,-,0
1668,10000.0,5309.955,4371.0,1.0,0.276,3071,12.713470935821533,p,-,0
1669,10000.0,5361.922,4363.0,1.0,0.275,2633,21.587864875793457,m,0.02,82
1670,10000.0,5172.096,4363.0,1.0,0.256,2729,13.946125030517578,i,-,0
1671,10000.0,5332.392,4363.0,1.0,0.269,2620,14.71340537071228,p,-,0
1672,10000.0,5315.231,4363.0,1.0,0.272,3129,15.130971908569336,i,-,0
1673,10000.0,5228.082,4363.0,1.0,0.258,2366,15.964294195175171,i,-,0
1674,10000.0,5306.432,4363.0,1.0,0.257,2522,15.325186967849731,i,-,0
1675,10000.0,5196.11,4363.0,1.0,0.243,2531,21.577190160751343,i,-,0
1676,10000.0,5158.351,4363.0,1.0,0.235,2479,15.781468152999878,p,-,0
1677,10000.0,4998.786,4363.0,1.0,0.229,2882,13.268758058547974,i,-,0
1678,10000.0,5319.549,4363.0,1.0,0.266,2932,13.25839114189148,i,-,0
1679,10000.0,5065.917,4363.0,1.0,0.235,2988,12.659401178359985,p,-,0
1680,10000.0,5249.167,4358.0,1.0,0.245,2757,14.088850975036621,c,-,61
1681,10000.0,5213.58,4358.0,1.0,0.255,2579,15.260977029800415,i,-,0
1682,10000.0,5095.835,4358.0,1.0,0.246,2089,19.013957977294922,p,-,0
1683,10000.0,4971.904,4358.0,1.0,0.238,2535,15.018203020095825,p,-,0
1684,10000.0,5119.349,4358.0,1.0,0.25,2682,14.491108179092407,i,-,0
1685,10000.0,5123.528,4358.0,1.0,0.251,2983,30.73733401298523,i,-,0
1686,10000.0,5075.061,4358.0,1.0,0.243,2675,14.794754028320312,i,-,0
1687,10000.0,5232.956,4358.0,1.0,0.251,3047,109.75491285324097,p,-,0
1688,10000.0,5072.491,4357.0,1.0,0.252,3019,12.695462703704834,c,-,46
1689,10000.0,5206.705,4357.0,1.0,0.26,2757,13.901465892791748,i,-,0
1690,10000.0,4989.174,4346.0,1.0,0.248,3006,12.760892868041992,c,-,42
1691,10000.0,5191.787,4346.0,1.0,0.269,2714,19.798424243927002,i,-,0
1692,10000.0,5157.794,4346.0,1.0,0.27,2964,12.772048234939575,p,-,0
1693,10000.0,4919.33,4346.0,1.0,0.235,3118,13.112217903137207,i,-,0
1694,10000.0,5023.24,4346.0,1.0,0.253,3256,44.51653695106506,p,-,0
